Serial No.,Round No.,Period,City,Age,Gender,Annual Income,Assembly Constituency Name,Educational Qualification,No. of Family Members,No. of Earning members in the family,Occupation of Respondent,Perception on General Economic condition - compared to one year ago,Outlook on General Economic condition - one year ahead,Perception on Household income - compared to one year ago,Outlook on Household income - one year ahead,Perception on Household spending - compared to one year ago,Outlook on Household spending - one year ahead,Perception on essential spending - compared to one year ago,Outlook on essential spending - one year ahead,Perception on non-essential spending - compared to one year ago,Outlook on non-essential spending - one year ahead,Perception on Employment scenario - compared to one year ago,Outlook on Employment scenario - one year ahead,Perception on General prices - compared to one year ago,Outlook on General prices - one year ahead,Perception on Inflation - compared to one year ago,Outlook on Inflation - one year ahead
25,41,Mar-18,Ahmedabad,22-29 year,Female,Rs. 1 to less than 3 lakh,Dariyapur ,Graduate,5 and more,2,Unemployed,Improved,Will improve,Increased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
26,41,Mar-18,Ahmedabad,22-29 year,Female,Rs. 1 to less than 3 lakh,Maninagar ,12th Std,5 and more,2,House wife,Improved,Will improve,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
27,41,Mar-18,Ahmedabad,22-29 year,Female,Rs. 1 to less than 3 lakh,Naroda ,5th Std-Below 10th Std,5 and more,4,House wife,Improved,Will improve,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
28,41,Mar-18,Ahmedabad,22-29 year,Female,Rs. 1 to less than 3 lakh,Nikol ,Graduate,3 or 4,2,Unemployed,Improved,Will improve,Decreased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Will improve,Increased,Will decrease,Increased,
29,41,Mar-18,Ahmedabad,22-29 year,Female,Rs. 1 to less than 3 lakh,Thakakarbapa nagar ,Graduate,3 or 4,1,House wife,Improved,Will improve,Increased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
30,41,Mar-18,Ahmedabad,22-29 year,Female,Rs. 1 to less than 3 lakh,Vatva ,Graduate,5 and more,3,House wife,Improved,Will improve,Increased,Will increase,Increased,Remain the same,Increased,Remain the same,Remained the same,Remain the same,Improved,Will improve,Increased,Will increase,Remained the same,Will increase
31,41,Mar-18,Ahmedabad,22-29 year,Female,Rs. 1 to less than 3 lakh,Vejalpur ,5th Std-Below 10th Std,3 or 4,2,Unemployed,Improved,Will improve,Increased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
32,41,Mar-18,Ahmedabad,22-29 year,Male,Rs. 1 lakh or less,Amaraiwadi ,10th Std-Below 12th Std,5 and more,3,Employed,Improved,Will improve,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Increased,Remain the same,Improved,Will improve,Increased,Will increase,Increased,Will increase
33,41,Mar-18,Ahmedabad,22-29 year,Male,Rs. 1 lakh or less,Amaraiwadi ,5th Std-Below 10th Std,3 or 4,1,Employed,Worsened,Remain the same,Remained the same,Will increase,Remained the same,Will increase,Remained the same,Will increase,Remained the same,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
34,41,Mar-18,Ahmedabad,22-29 year,Male,Rs. 1 lakh or less,Amaraiwadi ,Graduate,3 or 4,2,Employed,Remained the same,Will improve,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Will increase,Remained the same,Will improve,Increased,Will increase,Increased,Will increase
35,41,Mar-18,Ahmedabad,22-29 year,Male,Rs. 1 lakh or less,Asarwa ,5th Std-Below 10th Std,5 and more,2,Self Employed/ Business,Improved,Will improve,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
36,41,Mar-18,Ahmedabad,22-29 year,Male,Rs. 1 lakh or less,Bapunagar ,10th Std-Below 12th Std,1 to 2,1,Self Employed/ Business,Improved,Will improve,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
37,41,Mar-18,Ahmedabad,22-29 year,Male,Rs. 1 lakh or less,Danilimda ,12th Std,3 or 4,1,Employed,Improved,Will improve,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Decreased,Will decrease
38,41,Mar-18,Ahmedabad,22-29 year,Male,Rs. 1 lakh or less,Danilimda ,Graduate,3 or 4,2,Employed,Improved,Will improve,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Increased,Remain the same,Improved,Will improve,Increased,Will increase,Increased,Will increase
39,41,Mar-18,Ahmedabad,22-29 year,Male,Rs. 1 lakh or less,Ellisbridge ,5th Std-Below 10th Std,3 or 4,3,Employed,Worsened,Will improve,Decreased,Will increase,Increased,Remain the same,Increased,Remain the same,Increased,Remain the same,Remained the same,Will improve,Increased,Remain the same,Remained the same,
40,41,Mar-18,Ahmedabad,22-29 year,Male,Rs. 1 lakh or less,Ellisbridge ,Graduate,3 or 4,2,Employed,Improved,Will improve,Increased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Remain the same,Improved,Will improve,Increased,Will increase,Remained the same,Will decrease
41,41,Mar-18,Ahmedabad,22-29 year,Male,Rs. 1 lakh or less,Ghatlodiya ,Graduate,3 or 4,1,Self Employed/ Business,Improved,Will improve,Remained the same,Remain the same,Remained the same,Remain the same,Remained the same,Remain the same,Remained the same,Remain the same,Remained the same,Will improve,Increased,Will increase,Increased,Will increase
42,41,Mar-18,Ahmedabad,22-29 year,Male,Rs. 1 lakh or less,Jamalpur-Khadia ,10th Std-Below 12th Std,5 and more,2,Daily worker,Worsened,Will worsen,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase
43,41,Mar-18,Ahmedabad,22-29 year,Male,Rs. 1 lakh or less,Naranpura ,10th Std-Below 12th Std,3 or 4,1,Self Employed/ Business,Worsened,Will worsen,Decreased,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase
44,41,Mar-18,Ahmedabad,22-29 year,Male,Rs. 1 lakh or less,Naranpura ,5th Std-Below 10th Std,1 to 2,1,Employed,Improved,Will improve,Increased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Remain the same
45,41,Mar-18,Ahmedabad,22-29 year,Male,Rs. 1 lakh or less,Naranpura ,5th Std-Below 10th Std,5 and more,1,Self Employed/ Business,Improved,Remain the same,Increased,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Remain the same,Remained the same,Will improve,Increased,Remain the same,Increased,
46,41,Mar-18,Ahmedabad,22-29 year,Male,Rs. 1 lakh or less,Naroda ,10th Std-Below 12th Std,3 or 4,2,Daily worker,Improved,Will improve,Increased,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
47,41,Mar-18,Ahmedabad,22-29 year,Male,Rs. 1 lakh or less,Naroda ,5th Std-Below 10th Std,5 and more,1,Employed,Worsened,Will improve,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
48,41,Mar-18,Ahmedabad,22-29 year,Male,Rs. 1 lakh or less,Naroda ,Graduate,5 and more,2,Employed,Improved,Will improve,Increased,Will increase,Remained the same,Will increase,Remained the same,Will increase,Remained the same,Remain the same,Improved,Will improve,Increased,Will increase,Increased,Will increase
49,41,Mar-18,Ahmedabad,22-29 year,Male,Rs. 1 lakh or less,Thakakarbapa nagar ,5th Std-Below 10th Std,3 or 4,1,Daily worker,Improved,Will improve,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
50,41,Mar-18,Ahmedabad,22-29 year,Male,Rs. 1 lakh or less,Thakakarbapa nagar ,5th Std-Below 10th Std,3 or 4,1,Self Employed/ Business,Worsened,Will worsen,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Will decrease,Worsened,Will worsen,Increased,Will increase,Increased,Will increase
51,41,Mar-18,Ahmedabad,22-29 year,Male,Rs. 1 lakh or less,Thakakarbapa nagar ,5th Std-Below 10th Std,5 and more,3,Daily worker,Worsened,Will worsen,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Will worsen,Increased,Will increase,Increased,Will increase
52,41,Mar-18,Ahmedabad,22-29 year,Male,Rs. 1 lakh or less,Thakakarbapa nagar ,5th Std-Below 10th Std,5 and more,4,Unemployed,Worsened,Will improve,Decreased,Will increase,Remained the same,Will increase,Remained the same,Will increase,Decreased,Will decrease,Improved,Will improve,Increased,Will increase,Increased,Will increase
53,41,Mar-18,Ahmedabad,22-29 year,Male,Rs. 1 lakh or less,Thakakarbapa nagar ,Graduate,3 or 4,1,Employed,Improved,Will improve,Increased,Will increase,Increased,Will increase,Remained the same,Will increase,Increased,Will increase,Remained the same,Will worsen,Increased,Will increase,Increased,Will increase
54,41,Mar-18,Ahmedabad,22-29 year,Male,Rs. 1 lakh or less,Thakakarbapa nagar ,Graduate,5 and more,2,Unemployed,Remained the same,Will improve,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Increased,Remain the same,Improved,Will improve,Increased,Remain the same,Remained the same,
55,41,Mar-18,Ahmedabad,22-29 year,Male,Rs. 1 lakh or less,Vatva ,5th Std-Below 10th Std,5 and more,3,Daily worker,Improved,Will improve,Remained the same,Will increase,Increased,Will decrease,Increased,Remain the same,Remained the same,Will decrease,Improved,Will improve,Increased,Will increase,Increased,Will increase
56,41,Mar-18,Ahmedabad,22-29 year,Male,Rs. 1 lakh or less,Vejalpur ,5th Std-Below 10th Std,3 or 4,1,Self Employed/ Business,Improved,Will improve,Increased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
57,41,Mar-18,Ahmedabad,22-29 year,Male,Rs. 1 lakh or less,Vejalpur ,Graduate,3 or 4,1,Unemployed,Worsened,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase
58,41,Mar-18,Ahmedabad,22-29 year,Male,Rs. 1 to less than 3 lakh,Amaraiwadi ,Graduate,3 or 4,3,Unemployed,Improved,Will worsen,Increased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Decreased,Will decrease
59,41,Mar-18,Ahmedabad,22-29 year,Male,Rs. 1 to less than 3 lakh,Asarwa ,12th Std,3 or 4,3,Employed,Improved,Will improve,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
60,41,Mar-18,Ahmedabad,22-29 year,Male,Rs. 1 to less than 3 lakh,Asarwa ,12th Std,5 and more,2,Employed,Remained the same,Will improve,Increased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Will improve,Increased,Will increase,Increased,Will increase
61,41,Mar-18,Ahmedabad,22-29 year,Male,Rs. 1 to less than 3 lakh,Danilimda ,12th Std,5 and more,3,Self Employed/ Business,Worsened,Will worsen,Increased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Will worsen,Increased,Remain the same,Decreased,
62,41,Mar-18,Ahmedabad,22-29 year,Male,Rs. 1 to less than 3 lakh,Dariyapur ,Graduate,5 and more,2,Employed,Worsened,Remain the same,Remained the same,Will increase,Increased,Will increase,Remained the same,Will increase,Increased,Remain the same,Worsened,Remain the same,Increased,Will increase,Increased,Will increase
63,41,Mar-18,Ahmedabad,22-29 year,Male,Rs. 1 to less than 3 lakh,Ellisbridge ,12th Std,3 or 4,2,Employed,Worsened,Remain the same,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Decreased,Remain the same,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase
64,41,Mar-18,Ahmedabad,22-29 year,Male,Rs. 1 to less than 3 lakh,Ghatlodiya ,12th Std,3 or 4,2,Employed,Improved,Will improve,Remained the same,Will increase,Decreased,Will increase,Decreased,Will increase,Decreased,Will increase,Improved,Will improve,Decreased,Will decrease,,
65,41,Mar-18,Ahmedabad,22-29 year,Male,Rs. 1 to less than 3 lakh,Ghatlodiya ,12th Std,5 and more,3,Employed,Improved,Will improve,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Decreased,Will decrease
66,41,Mar-18,Ahmedabad,22-29 year,Male,Rs. 1 to less than 3 lakh,Ghatlodiya ,Graduate,3 or 4,1,Self Employed/ Business,Improved,Will improve,Increased,Remain the same,Decreased,Will increase,Decreased,Will increase,Remained the same,Will increase,Worsened,Will improve,Increased,Will increase,Remained the same,Will increase
67,41,Mar-18,Ahmedabad,22-29 year,Male,Rs. 1 to less than 3 lakh,Ghatlodiya ,Graduate,3 or 4,2,Employed,Improved,Will improve,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Will improve,Increased,Will increase,Increased,Will increase
68,41,Mar-18,Ahmedabad,22-29 year,Male,Rs. 1 to less than 3 lakh,Ghatlodiya ,Graduate,3 or 4,2,Self Employed/ Business,Improved,Will improve,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
69,41,Mar-18,Ahmedabad,22-29 year,Male,Rs. 1 to less than 3 lakh,Ghatlodiya ,Post Graduate,1 to 2,1,Employed,Improved,Will improve,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Remained the same,Will increase
70,41,Mar-18,Ahmedabad,22-29 year,Male,Rs. 1 to less than 3 lakh,Jamalpur-Khadia ,10th Std-Below 12th Std,5 and more,4,Self Employed/ Business,Improved,Remain the same,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Remained the same,Will increase,Remained the same,Will improve,Increased,Will increase,Increased,Will increase
71,41,Mar-18,Ahmedabad,22-29 year,Male,Rs. 1 to less than 3 lakh,Naranpura ,12th Std,5 and more,2,Employed,Improved,Will improve,Increased,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Remain the same
72,41,Mar-18,Ahmedabad,22-29 year,Male,Rs. 1 to less than 3 lakh,Naranpura ,Post Graduate,3 or 4,1,Self Employed/ Business,Worsened,Will worsen,Increased,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Improved,Will improve,Increased,Will increase,Increased,Will increase
73,41,Mar-18,Ahmedabad,22-29 year,Male,Rs. 1 to less than 3 lakh,Sabarmati ,Graduate,3 or 4,1,Self Employed/ Business,Improved,Will improve,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
74,41,Mar-18,Ahmedabad,22-29 year,Male,Rs. 1 to less than 3 lakh,Sabarmati ,Graduate,3 or 4,2,Unemployed,Improved,Will improve,Increased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
75,41,Mar-18,Ahmedabad,22-29 year,Male,Rs. 1 to less than 3 lakh,Vatva ,5th Std-Below 10th Std,5 and more,2,Employed,Worsened,Will improve,Increased,Will increase,Remained the same,Will increase,Increased,Will increase,Remained the same,Remain the same,Remained the same,Will improve,Increased,Will increase,Increased,Will increase
76,41,Mar-18,Ahmedabad,22-29 year,Male,Rs. 1 to less than 3 lakh,Vejalpur ,12th Std,3 or 4,2,Unemployed,Improved,Will improve,Remained the same,Remain the same,Remained the same,Remain the same,Remained the same,Remain the same,Remained the same,Remain the same,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase
77,41,Mar-18,Ahmedabad,22-29 year,Male,Rs. 1 to less than 3 lakh,Vejalpur ,Graduate,3 or 4,1,Unemployed,Improved,Will improve,Increased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
78,41,Mar-18,Ahmedabad,22-29 year,Male,Rs. 1 to less than 3 lakh,Vejalpur ,Graduate,3 or 4,1,Unemployed,Improved,Will improve,Increased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
79,41,Mar-18,Ahmedabad,22-29 year,Male,Rs. 1 to less than 3 lakh,Vejalpur ,Graduate,3 or 4,1,Unemployed,Improved,Will improve,Increased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Remain the same,Increased,Will increase,Increased,Will increase
80,41,Mar-18,Ahmedabad,22-29 year,Male,Rs. 1 to less than 3 lakh,Vejalpur ,Graduate,3 or 4,1,Unemployed,Improved,Will improve,Increased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Will improve,Increased,Will increase,Increased,Will increase
81,41,Mar-18,Ahmedabad,22-29 year,Male,Rs. 3 lakh to 5 lakh,Ghatlodiya ,12th Std,5 and more,3,Self Employed/ Business,Improved,Will improve,Increased,Will increase,Increased,Will increase,Increased,Will increase,Decreased,Remain the same,Improved,Will improve,Increased,Will increase,Remained the same,Remain the same
82,41,Mar-18,Ahmedabad,30-39 year,Female,Rs. 1 lakh or less,Amaraiwadi ,10th Std-Below 12th Std,5 and more,1,Daily worker,Remained the same,Remain the same,Remained the same,Remain the same,Remained the same,Will increase,Remained the same,Will increase,Remained the same,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
83,41,Mar-18,Ahmedabad,30-39 year,Female,Rs. 1 lakh or less,Amaraiwadi ,10th Std-Below 12th Std,5 and more,3,House wife,Worsened,Remain the same,Decreased,Will increase,Increased,Will increase,Increased,Will increase,Decreased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
84,41,Mar-18,Ahmedabad,30-39 year,Female,Rs. 1 lakh or less,Amaraiwadi ,5th Std-Below 10th Std,5 and more,1,House wife,Worsened,Remain the same,Remained the same,Will increase,Remained the same,Will increase,Remained the same,Will increase,Remained the same,Remain the same,Remained the same,Will improve,Increased,Remain the same,Increased,
85,41,Mar-18,Ahmedabad,30-39 year,Female,Rs. 1 lakh or less,Asarwa ,10th Std-Below 12th Std,1 to 2,2,Self Employed/ Business,Improved,Will improve,Decreased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Will improve,Increased,Will increase,Increased,Will increase
86,41,Mar-18,Ahmedabad,30-39 year,Female,Rs. 1 lakh or less,Asarwa ,10th Std-Below 12th Std,3 or 4,1,House wife,Worsened,Will worsen,Decreased,Will decrease,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Worsened,Will worsen,Increased,Will increase,Increased,Will increase
87,41,Mar-18,Ahmedabad,30-39 year,Female,Rs. 1 lakh or less,Asarwa ,5th Std-Below 10th Std,5 and more,1,House wife,Improved,Will improve,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Will worsen,Increased,Will increase,Increased,Will increase
88,41,Mar-18,Ahmedabad,30-39 year,Female,Rs. 1 lakh or less,Asarwa ,5th Std-Below 10th Std,5 and more,1,House wife,Improved,Will worsen,Decreased,Will decrease,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Will improve,Increased,Will increase,Increased,Will increase
89,41,Mar-18,Ahmedabad,30-39 year,Female,Rs. 1 lakh or less,Asarwa ,5th Std-Below 10th Std,5 and more,1,House wife,Remained the same,Will improve,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Will improve,Increased,Will increase,Increased,Will increase
