Serial No.,Round No.,Period,City,Age,Gender,Annual Income,Assembly Constituency Name,Educational Qualification,No. of Family Members,No. of Earning members in the family,Occupation of Respondent,Perception on General Economic condition - compared to one year ago,Outlook on General Economic condition - one year ahead,Perception on Household income - compared to one year ago,Outlook on Household income - one year ahead,Perception on Household spending - compared to one year ago,Outlook on Household spending - one year ahead,Perception on essential spending - compared to one year ago,Outlook on essential spending - one year ahead,Perception on non-essential spending - compared to one year ago,Outlook on non-essential spending - one year ahead,Perception on Employment scenario - compared to one year ago,Outlook on Employment scenario - one year ahead,Perception on General prices - compared to one year ago,Outlook on General prices - one year ahead,Perception on Inflation - compared to one year ago,Outlook on Inflation - one year ahead
11,46,Dec-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Ghatlodiya,12th Std,3 or 4,1,House wife,Remained the same,Will improve,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Increased,Remain the same,Worsened,Will improve,Increased,Will increase,Increased,Will increase
12,46,Dec-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Ghatlodiya,5th Std-Below 10th Std,3 or 4,1,House wife,Worsened,Remain the same,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Decreased,Will increase,Worsened,Will worsen,Increased,Will increase,Increased,Will increase
13,46,Dec-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Ghatlodiya,5th Std-Below 10th Std,5 and more,1,House wife,Worsened,Will improve,Remained the same,Remain the same,Remained the same,Remain the same,Remained the same,Remain the same,Decreased,Will decrease,Improved,Will improve,Increased,Will increase,Increased,Will increase
14,46,Dec-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Ghatlodiya,Graduate,3 or 4,1,Employed,Improved,Will improve,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
15,46,Dec-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Jamalpur-Khadia,10th Std-Below 12th Std,5 and more,2,House wife,Improved,Will improve,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Will increase,Remained the same,Will improve,Increased,Will decrease,Increased,
16,46,Dec-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Jamalpur-Khadia,12th Std,3 or 4,2,Daily worker,Remained the same,Will worsen,Remained the same,Remain the same,Remained the same,Will increase,Increased,Will increase,Remained the same,Remain the same,Worsened,Will worsen,Increased,Will increase,Remained the same,Will increase
17,46,Dec-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Jamalpur-Khadia,5th Std-Below 10th Std,5 and more,3,House wife,Worsened,Will improve,Remained the same,Remain the same,Remained the same,Will increase,Increased,Will increase,Remained the same,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
18,46,Dec-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Jamalpur-Khadia,Illiterate,3 or 4,2,House wife,Worsened,Will worsen,Decreased,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Will increase,Worsened,Will improve,Increased,Will increase,Decreased,Will increase
19,46,Dec-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Naroda,10th Std-Below 12th Std,3 or 4,1,House wife,Worsened,Will improve,Remained the same,Remain the same,Remained the same,Will increase,Increased,Will increase,Decreased,Will increase,Worsened,Will improve,Increased,Remain the same,Increased,
20,46,Dec-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Naroda,12th Std,3 or 4,2,House wife,Improved,Remain the same,Increased,Remain the same,Remained the same,Remain the same,Increased,Will increase,Decreased,Will decrease,Improved,Will improve,Increased,Will increase,Increased,Will increase
21,46,Dec-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Naroda,5th Std-Below 10th Std,5 and more,2,House wife,Remained the same,Will improve,Decreased,Will increase,Remained the same,Remain the same,Increased,Remain the same,Remained the same,Remain the same,Remained the same,Will improve,Increased,Will increase,Increased,Will increase
22,46,Dec-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Naroda,Graduate,5 and more,1,Employed,Improved,Will improve,Decreased,Will decrease,Increased,Will increase,Increased,Will increase,Increased,Remain the same,Remained the same,Will improve,Increased,Will increase,Increased,Will increase
23,46,Dec-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Nikol,5th Std-Below 10th Std,5 and more,1,House wife,Worsened,Will worsen,Remained the same,Remain the same,Remained the same,Remain the same,Increased,Will increase,Remained the same,Remain the same,Worsened,Will improve,Increased,Will increase,Increased,Will increase
24,46,Dec-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Sabarmati,Graduate,3 or 4,2,House wife,Improved,Will improve,Remained the same,Will increase,Remained the same,Will decrease,Remained the same,Remain the same,Remained the same,Will decrease,Remained the same,Will improve,Increased,Will decrease,Remained the same,
25,46,Dec-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Sabarmati,Graduate,5 and more,2,Unemployed,Improved,Will improve,Remained the same,Will increase,Remained the same,Will increase,Increased,Will increase,Remained the same,Remain the same,Improved,Will improve,Increased,Will increase,Remained the same,Remain the same
26,46,Dec-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Thakakarbapa nagar,5th Std-Below 10th Std,1 to 2,1,House wife,Worsened,Remain the same,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Will increase,Remained the same,Remain the same,Increased,Remain the same,Increased,
27,46,Dec-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Vatva,5th Std-Below 10th Std,5 and more,1,House wife,Worsened,Will worsen,Decreased,Will increase,Increased,Will increase,Increased,Will decrease,Decreased,Will increase,Worsened,Will worsen,Increased,Will increase,Increased,Will increase
28,46,Dec-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Vejalpur,Below 5th Std,5 and more,1,House wife,Improved,Remain the same,Decreased,Will increase,Remained the same,Remain the same,Increased,Remain the same,Remained the same,Will increase,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase
29,46,Dec-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Vejalpur,Below 5th Std,5 and more,2,House wife,Remained the same,Will improve,Remained the same,Remain the same,Remained the same,Remain the same,Increased,Remain the same,Remained the same,Remain the same,Remained the same,Will improve,Increased,Will increase,Increased,Will increase
30,46,Dec-18,Ahmedabad,22-29 year,Female,Rs. 1 to less than 3 lakh,Amaraiwadi,Below 5th Std,3 or 4,2,Daily worker,Worsened,Remain the same,Remained the same,Remain the same,Remained the same,Remain the same,Decreased,Will increase,Remained the same,Remain the same,Improved,Remain the same,Increased,Will increase,Increased,Will increase
31,46,Dec-18,Ahmedabad,22-29 year,Female,Rs. 1 to less than 3 lakh,Amaraiwadi,Graduate,5 and more,2,House wife,Worsened,Will worsen,Decreased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Remain the same,Worsened,Will worsen,Increased,Will increase,Increased,Will increase
32,46,Dec-18,Ahmedabad,22-29 year,Female,Rs. 1 to less than 3 lakh,Amaraiwadi,Graduate,5 and more,4,Unemployed,Improved,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Remain the same,Improved,Remain the same,Remained the same,Will increase,,Will increase
33,46,Dec-18,Ahmedabad,22-29 year,Female,Rs. 1 to less than 3 lakh,Ellisbridge,5th Std-Below 10th Std,3 or 4,1,House wife,Remained the same,Will improve,Increased,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Remained the same,Will increase
34,46,Dec-18,Ahmedabad,22-29 year,Female,Rs. 1 to less than 3 lakh,Ellisbridge,5th Std-Below 10th Std,5 and more,3,House wife,Improved,Will improve,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Will improve,Increased,Will increase,Increased,Will increase
35,46,Dec-18,Ahmedabad,22-29 year,Female,Rs. 1 to less than 3 lakh,Ghatlodiya,10th Std-Below 12th Std,3 or 4,1,House wife,Improved,Will improve,Remained the same,Remain the same,Remained the same,Remain the same,Remained the same,Remain the same,Decreased,Will decrease,Improved,Will improve,Decreased,Will increase,,Will increase
36,46,Dec-18,Ahmedabad,22-29 year,Female,Rs. 1 to less than 3 lakh,Ghatlodiya,5th Std-Below 10th Std,3 or 4,1,House wife,Improved,Will improve,Increased,Remain the same,Remained the same,Remain the same,Increased,Remain the same,Decreased,Remain the same,Improved,Will improve,Remained the same,Will increase,,Will increase
37,46,Dec-18,Ahmedabad,22-29 year,Female,Rs. 1 to less than 3 lakh,Maninagar,10th Std-Below 12th Std,5 and more,2,House wife,Improved,Will improve,Remained the same,Will increase,Increased,Remain the same,Increased,Remain the same,Remained the same,Will decrease,Improved,Will improve,Increased,Remain the same,Remained the same,
38,46,Dec-18,Ahmedabad,22-29 year,Female,Rs. 1 to less than 3 lakh,Maninagar,Graduate,5 and more,2,House wife,Improved,Will improve,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Improved,Will improve,Increased,Will increase,Increased,Will increase
39,46,Dec-18,Ahmedabad,22-29 year,Female,Rs. 1 to less than 3 lakh,Naranpura,10th Std-Below 12th Std,5 and more,1,House wife,Improved,Will improve,Increased,Will increase,Increased,Will increase,Increased,Will increase,Decreased,Remain the same,Improved,Will improve,Increased,Will increase,Increased,Will increase
40,46,Dec-18,Ahmedabad,22-29 year,Female,Rs. 1 to less than 3 lakh,Sabarmati,Graduate,3 or 4,1,House wife,Improved,Will improve,Remained the same,Will increase,Remained the same,Remain the same,Remained the same,Will increase,Remained the same,Remain the same,Improved,Will improve,Remained the same,Remain the same,,
41,46,Dec-18,Ahmedabad,22-29 year,Female,Rs. 1 to less than 3 lakh,Sabarmati,Graduate,3 or 4,1,Unemployed,Remained the same,Will improve,Decreased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
42,46,Dec-18,Ahmedabad,22-29 year,Female,Rs. 1 to less than 3 lakh,Sabarmati,Post Graduate,5 and more,1,House wife,Worsened,Will worsen,Remained the same,Remain the same,Increased,Remain the same,Increased,Remain the same,Increased,Remain the same,Worsened,Will improve,Increased,Will increase,Remained the same,Will increase
43,46,Dec-18,Ahmedabad,22-29 year,Female,Rs. 1 to less than 3 lakh,Vejalpur,5th Std-Below 10th Std,3 or 4,1,House wife,Improved,Will improve,Remained the same,Remain the same,Remained the same,Will increase,Increased,Will increase,Decreased,Will decrease,Improved,Will improve,Increased,Will increase,Increased,Will increase
44,46,Dec-18,Ahmedabad,22-29 year,Female,Rs. 1 to less than 3 lakh,Vejalpur,5th Std-Below 10th Std,5 and more,4,House wife,Improved,Will improve,Remained the same,Will increase,Remained the same,Remain the same,Increased,Will increase,Remained the same,Will decrease,Improved,Will improve,Remained the same,Will increase,,Will increase
45,46,Dec-18,Ahmedabad,22-29 year,Female,Rs. 3 lakh to 5 lakh,Ellisbridge,5th Std-Below 10th Std,5 and more,5,House wife,Worsened,Will improve,Increased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
46,46,Dec-18,Ahmedabad,22-29 year,Female,Rs. 3 lakh to 5 lakh,Maninagar,Graduate,5 and more,2,Unemployed,Worsened,Will improve,Increased,Will increase,Increased,Remain the same,Increased,Remain the same,Increased,Will decrease,Remained the same,Will improve,Remained the same,Remain the same,,
47,46,Dec-18,Ahmedabad,22-29 year,Female,Rs. 3 lakh to 5 lakh,Sabarmati,Graduate,5 and more,2,House wife,Improved,Will improve,Increased,Remain the same,Increased,Remain the same,Increased,Remain the same,Remained the same,Remain the same,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase
48,46,Dec-18,Ahmedabad,22-29 year,Female,Rs. 3 lakh to 5 lakh,Vejalpur,Post Graduate,5 and more,4,Employed,Improved,Will improve,Increased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Will improve,Increased,Will increase,Increased,Will increase
49,46,Dec-18,Ahmedabad,22-29 year,Male,Rs. 1 lakh or less,Amaraiwadi,10th Std-Below 12th Std,5 and more,2,Daily worker,Improved,Will improve,Increased,Will increase,Remained the same,Will increase,Remained the same,Will increase,Remained the same,Will increase,Remained the same,Will improve,Increased,Will decrease,Increased,
50,46,Dec-18,Ahmedabad,22-29 year,Male,Rs. 1 lakh or less,Amaraiwadi,5th Std-Below 10th Std,3 or 4,1,Employed,Remained the same,Will improve,Remained the same,Will increase,Remained the same,Will increase,Remained the same,Will increase,Remained the same,Remain the same,Improved,Will improve,Increased,Remain the same,Increased,
51,46,Dec-18,Ahmedabad,22-29 year,Male,Rs. 1 lakh or less,Amaraiwadi,Below 5th Std,1 to 2,1,Daily worker,Worsened,Will improve,Decreased,Will increase,Increased,Will decrease,Increased,Will decrease,Remained the same,Will decrease,Worsened,Will improve,Increased,Will decrease,Increased,
52,46,Dec-18,Ahmedabad,22-29 year,Male,Rs. 1 lakh or less,Amaraiwadi,Graduate,3 or 4,2,Unemployed,Improved,Will improve,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Remained the same,Will increase,,Remain the same
53,46,Dec-18,Ahmedabad,22-29 year,Male,Rs. 1 lakh or less,Danilimda,10th Std-Below 12th Std,5 and more,1,Employed,Worsened,Will worsen,Increased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Will worsen,Increased,Will increase,Increased,Will increase
54,46,Dec-18,Ahmedabad,22-29 year,Male,Rs. 1 lakh or less,Danilimda,12th Std,5 and more,1,Employed,Improved,Will improve,Increased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Remained the same,Will increase,,Will increase
55,46,Dec-18,Ahmedabad,22-29 year,Male,Rs. 1 lakh or less,Danilimda,5th Std-Below 10th Std,1 to 2,1,Self Employed/ Business,Remained the same,Remain the same,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Remain the same,Increased,Will increase,Increased,Will increase
56,46,Dec-18,Ahmedabad,22-29 year,Male,Rs. 1 lakh or less,Danilimda,5th Std-Below 10th Std,3 or 4,2,Daily worker,Improved,Will improve,Increased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Remained the same,Will increase,,Will increase
57,46,Dec-18,Ahmedabad,22-29 year,Male,Rs. 1 lakh or less,Danilimda,5th Std-Below 10th Std,5 and more,3,Employed,Worsened,Remain the same,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Remain the same,Increased,Will increase,Increased,Remain the same
58,46,Dec-18,Ahmedabad,22-29 year,Male,Rs. 1 lakh or less,Danilimda,5th Std-Below 10th Std,5 and more,4,Employed,Worsened,Will improve,Decreased,Will increase,Increased,Will decrease,Increased,Will decrease,Increased,Will decrease,Worsened,Will worsen,Increased,Will increase,Remained the same,Will increase
59,46,Dec-18,Ahmedabad,22-29 year,Male,Rs. 1 lakh or less,Danilimda,5th Std-Below 10th Std,5 and more,5,Employed,Worsened,Will improve,Remained the same,Will decrease,Increased,Remain the same,Increased,Will increase,Increased,Remain the same,Worsened,Remain the same,Remained the same,Will increase,,Will increase
60,46,Dec-18,Ahmedabad,22-29 year,Male,Rs. 1 lakh or less,Danilimda,5th Std-Below 10th Std,5 and more,5,Self Employed/ Business,Worsened,Will worsen,Remained the same,Remain the same,Increased,Remain the same,Increased,Will increase,Remained the same,Remain the same,Worsened,Will worsen,Increased,Will increase,Increased,Will increase
61,46,Dec-18,Ahmedabad,22-29 year,Male,Rs. 1 lakh or less,Danilimda,Below 5th Std,1 to 2,1,Employed,Improved,Will improve,Increased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
62,46,Dec-18,Ahmedabad,22-29 year,Male,Rs. 1 lakh or less,Danilimda,Graduate,3 or 4,1,Employed,Improved,Will improve,Increased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
63,46,Dec-18,Ahmedabad,22-29 year,Male,Rs. 1 lakh or less,Ellisbridge,12th Std,3 or 4,2,Daily worker,Improved,Will improve,Remained the same,Will increase,Remained the same,Will increase,Remained the same,Will increase,Remained the same,Will increase,Improved,Will improve,Remained the same,Remain the same,,
64,46,Dec-18,Ahmedabad,22-29 year,Male,Rs. 1 lakh or less,Ellisbridge,5th Std-Below 10th Std,5 and more,3,Employed,Improved,Will improve,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Decreased,Will increase,Improved,Will improve,Remained the same,Will increase,,Will increase
65,46,Dec-18,Ahmedabad,22-29 year,Male,Rs. 1 lakh or less,Ellisbridge,Below 5th Std,1 to 2,1,Daily worker,Worsened,Will improve,Decreased,Will increase,Increased,Remain the same,Increased,Remain the same,Remained the same,Will decrease,Worsened,Will improve,Increased,Remain the same,Remained the same,
66,46,Dec-18,Ahmedabad,22-29 year,Male,Rs. 1 lakh or less,Ellisbridge,Below 5th Std,3 or 4,1,Daily worker,Worsened,Will worsen,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Will increase,Worsened,Will improve,Increased,Will decrease,Increased,
67,46,Dec-18,Ahmedabad,22-29 year,Male,Rs. 1 lakh or less,Ellisbridge,Below 5th Std,5 and more,2,Daily worker,Remained the same,Will improve,Remained the same,Remain the same,Increased,Will increase,Remained the same,Will increase,Increased,Will increase,Remained the same,Will improve,Increased,Will increase,Increased,Will increase
68,46,Dec-18,Ahmedabad,22-29 year,Male,Rs. 1 lakh or less,Ghatlodiya,Below 5th Std,5 and more,1,Daily worker,Improved,Will improve,Increased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
69,46,Dec-18,Ahmedabad,22-29 year,Male,Rs. 1 lakh or less,Jamalpur-Khadia,10th Std-Below 12th Std,3 or 4,1,Unemployed,Improved,Remain the same,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Remain the same,Increased,Remain the same,Increased,
70,46,Dec-18,Ahmedabad,22-29 year,Male,Rs. 1 lakh or less,Jamalpur-Khadia,10th Std-Below 12th Std,5 and more,2,Employed,Worsened,Will worsen,Increased,Will increase,Increased,Will increase,Increased,Will increase,Decreased,Will increase,Worsened,Will worsen,Increased,Will increase,Increased,Will increase
71,46,Dec-18,Ahmedabad,22-29 year,Male,Rs. 1 lakh or less,Jamalpur-Khadia,12th Std,3 or 4,1,Unemployed,Worsened,Will improve,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Decreased,Will increase,Worsened,Will improve,Increased,Will increase,Increased,Will increase
72,46,Dec-18,Ahmedabad,22-29 year,Male,Rs. 1 lakh or less,Jamalpur-Khadia,5th Std-Below 10th Std,1 to 2,2,Daily worker,Remained the same,Will improve,Decreased,Remain the same,Increased,Will decrease,Increased,Will increase,Remained the same,Will decrease,Improved,Will improve,Increased,Will increase,Remained the same,Will increase
73,46,Dec-18,Ahmedabad,22-29 year,Male,Rs. 1 lakh or less,Jamalpur-Khadia,5th Std-Below 10th Std,3 or 4,1,Daily worker,Worsened,Will improve,Decreased,Will decrease,Increased,Remain the same,Increased,Will decrease,Remained the same,Remain the same,Worsened,Will improve,Remained the same,Will decrease,,
74,46,Dec-18,Ahmedabad,22-29 year,Male,Rs. 1 lakh or less,Jamalpur-Khadia,5th Std-Below 10th Std,3 or 4,2,Daily worker,Worsened,Will worsen,Decreased,Will increase,Remained the same,Will increase,Decreased,Remain the same,Remained the same,Will increase,Worsened,Will worsen,Remained the same,Will increase,,Remain the same
75,46,Dec-18,Ahmedabad,22-29 year,Male,Rs. 1 lakh or less,Jamalpur-Khadia,5th Std-Below 10th Std,5 and more,1,Daily worker,Improved,Will improve,Increased,Remain the same,Remained the same,Will increase,Increased,Will increase,Remained the same,Will increase,Improved,Will improve,Increased,Remain the same,Increased,
76,46,Dec-18,Ahmedabad,22-29 year,Male,Rs. 1 lakh or less,Maninagar,12th Std,3 or 4,1,Unemployed,Improved,Will improve,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Remain the same
77,46,Dec-18,Ahmedabad,22-29 year,Male,Rs. 1 lakh or less,Nikol,5th Std-Below 10th Std,1 to 2,1,Daily worker,Remained the same,Will improve,Remained the same,Will increase,Remained the same,Will increase,Increased,Will increase,Remained the same,Will increase,Improved,Remain the same,Increased,Will increase,Increased,Will increase
78,46,Dec-18,Ahmedabad,22-29 year,Male,Rs. 1 lakh or less,Nikol,Graduate,3 or 4,3,Self Employed/ Business,Remained the same,Will improve,Remained the same,Will increase,Decreased,Will increase,Remained the same,Will increase,Decreased,Will decrease,Improved,Will improve,Increased,Will increase,Increased,Will increase
79,46,Dec-18,Ahmedabad,22-29 year,Male,Rs. 1 lakh or less,Nikol,Graduate,5 and more,2,Employed,Remained the same,Will improve,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Will improve,Increased,Will increase,Increased,Will increase
80,46,Dec-18,Ahmedabad,22-29 year,Male,Rs. 1 lakh or less,Vejalpur,5th Std-Below 10th Std,3 or 4,3,Daily worker,Worsened,Will worsen,Decreased,Will decrease,Decreased,Will decrease,Increased,Will increase,Decreased,Will decrease,Worsened,Will worsen,Increased,Will increase,Increased,Will increase
81,46,Dec-18,Ahmedabad,22-29 year,Male,Rs. 1 lakh or less,Vejalpur,Illiterate,5 and more,2,Employed,Worsened,Will improve,Decreased,Remain the same,Remained the same,Remain the same,Remained the same,Remain the same,Remained the same,Will decrease,Improved,Will improve,Increased,Will increase,Increased,Will increase
82,46,Dec-18,Ahmedabad,22-29 year,Male,Rs. 1 to less than 3 lakh,Amaraiwadi,12th Std,1 to 2,1,Employed,Improved,Will improve,Increased,Will increase,Remained the same,Will decrease,Increased,Will increase,Remained the same,Will decrease,Improved,Will improve,Increased,Will decrease,Remained the same,
83,46,Dec-18,Ahmedabad,22-29 year,Male,Rs. 1 to less than 3 lakh,Amaraiwadi,12th Std,5 and more,3,Employed,Worsened,Will worsen,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase
84,46,Dec-18,Ahmedabad,22-29 year,Male,Rs. 1 to less than 3 lakh,Asarwa,12th Std,5 and more,3,Unemployed,Improved,Will improve,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Increased,Remain the same,Improved,Will improve,Increased,Will increase,Remained the same,Will increase
85,46,Dec-18,Ahmedabad,22-29 year,Male,Rs. 1 to less than 3 lakh,Asarwa,Graduate,3 or 4,1,Unemployed,Remained the same,Will improve,Decreased,Will increase,Remained the same,Remain the same,Increased,Remain the same,Remained the same,Remain the same,Remained the same,Will improve,Increased,Will decrease,Increased,
86,46,Dec-18,Ahmedabad,22-29 year,Male,Rs. 1 to less than 3 lakh,Bapunagar,10th Std-Below 12th Std,3 or 4,3,Unemployed,Remained the same,Will improve,Increased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Remain the same
87,46,Dec-18,Ahmedabad,22-29 year,Male,Rs. 1 to less than 3 lakh,Danilimda,10th Std-Below 12th Std,3 or 4,1,Employed,Remained the same,Remain the same,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase
88,46,Dec-18,Ahmedabad,22-29 year,Male,Rs. 1 to less than 3 lakh,Danilimda,12th Std,3 or 4,1,Employed,Improved,Will improve,Increased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Remained the same,Will increase
89,46,Dec-18,Ahmedabad,22-29 year,Male,Rs. 1 to less than 3 lakh,Danilimda,12th Std,3 or 4,2,Self Employed/ Business,Improved,Will improve,Increased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
