Serial No.,Round No.,Period,City,Age,Gender,Annual Income,Assembly Constituency Name,Educational Qualification,No. of Family Members,No. of Earning members in the family,Occupation of Respondent,Perception on General Economic condition - compared to one year ago,Outlook on General Economic condition - one year ahead,Perception on Household income - compared to one year ago,Outlook on Household income - one year ahead,Perception on Household spending - compared to one year ago,Outlook on Household spending - one year ahead,Perception on essential spending - compared to one year ago,Outlook on essential spending - one year ahead,Perception on non-essential spending - compared to one year ago,Outlook on non-essential spending - one year ahead,Perception on Employment scenario - compared to one year ago,Outlook on Employment scenario - one year ahead,Perception on General prices - compared to one year ago,Outlook on General prices - one year ahead,Perception on Inflation - compared to one year ago,Outlook on Inflation - one year ahead
11,43,Jun-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Ghatlodiya ,5th Std-Below 10th Std,3 or 4,1,House wife,Worsened,Remain the same,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
12,43,Jun-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Ghatlodiya ,5th Std-Below 10th Std,3 or 4,1,House wife,Worsened,Will improve,Remained the same,Will increase,Remained the same,Remain the same,Remained the same,Remain the same,Remained the same,Remain the same,Improved,Will improve,Increased,Will increase,Increased,Will increase
13,43,Jun-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Ghatlodiya ,5th Std-Below 10th Std,5 and more,1,House wife,Improved,Will improve,Decreased,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will decrease,Worsened,Remain the same,Increased,Remain the same,Increased,
14,43,Jun-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Ghatlodiya ,Graduate,3 or 4,1,House wife,Improved,Will improve,Remained the same,Remain the same,Remained the same,Remain the same,Increased,Will increase,Remained the same,Remain the same,Improved,Will improve,Remained the same,Will increase,,Remain the same
15,43,Jun-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Ghatlodiya ,Graduate,5 and more,1,House wife,Improved,Will improve,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
16,43,Jun-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Jamalpur -Khadia ,10th Std-Below 12th Std,3 or 4,4,House wife,Improved,Remain the same,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will worsen,Remained the same,Will increase,,Remain the same
17,43,Jun-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Jamalpur -Khadia ,Graduate,3 or 4,3,Employed,Remained the same,Will improve,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will decrease,Improved,Will improve,Increased,Will increase,Increased,Will increase
18,43,Jun-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Maninagar ,5th Std-Below 10th Std,5 and more,3,Daily worker,Improved,Will improve,Increased,Will increase,Remained the same,Will increase,Increased,Will increase,Decreased,Remain the same,Improved,Will improve,Increased,Will increase,Increased,Will increase
19,43,Jun-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Naroda ,10th Std-Below 12th Std,3 or 4,1,House wife,Improved,Will improve,Increased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
20,43,Jun-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Sabarmati ,10th Std-Below 12th Std,3 or 4,2,House wife,Improved,Will improve,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
21,43,Jun-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Sabarmati ,10th Std-Below 12th Std,5 and more,2,House wife,Improved,Remain the same,Remained the same,Will increase,Increased,Will increase,Increased,Will decrease,Increased,Will increase,Remained the same,Will improve,Increased,Will increase,Decreased,Will decrease
22,43,Jun-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Sabarmati ,12th Std,5 and more,1,House wife,Improved,Will improve,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Remained the same,Will decrease,Improved,Will improve,Increased,Will increase,Increased,Will increase
23,43,Jun-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Sabarmati ,Illiterate,3 or 4,1,House wife,Improved,Will improve,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Remain the same,Increased,Will increase,Increased,Will increase
24,43,Jun-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Thakakarbapa nagar ,5th Std-Below 10th Std,5 and more,3,House wife,Worsened,Will improve,Remained the same,Will increase,Remained the same,Will decrease,Remained the same,Will decrease,Remained the same,Will decrease,Improved,Will improve,Increased,Will decrease,Remained the same,
25,43,Jun-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Thakakarbapa nagar ,Below 5th Std,3 or 4,3,House wife,Worsened,Will improve,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
26,43,Jun-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Thakakarbapa nagar ,Graduate,3 or 4,1,House wife,Improved,Will improve,Increased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Remain the same,Increased,Remain the same,Increased,
27,43,Jun-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Thakakarbapa nagar ,Illiterate,3 or 4,1,House wife,Worsened,Will improve,Decreased,Will increase,Increased,Remain the same,Increased,Will increase,Decreased,Remain the same,Improved,Will improve,Increased,Remain the same,Increased,
28,43,Jun-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Thakakarbapa nagar ,Post Graduate,3 or 4,1,House wife,Remained the same,Remain the same,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Will improve,Increased,Will increase,Increased,Will increase
29,43,Jun-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Thakakarbapa nagar ,Post Graduate,5 and more,2,House wife,Improved,Will improve,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Will increase,Remained the same,Will improve,Increased,Will increase,Remained the same,Will decrease
30,43,Jun-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Vatva ,5th Std-Below 10th Std,3 or 4,1,House wife,Worsened,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will increase,Decreased,Will increase,Worsened,Will improve,Increased,Will increase,Increased,Will increase
31,43,Jun-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Vatva ,5th Std-Below 10th Std,3 or 4,2,House wife,Improved,Will improve,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Will increase,Remained the same,Will improve,Increased,Will increase,Increased,Will increase
32,43,Jun-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Vatva ,Below 5th Std,5 and more,1,House wife,Worsened,Remain the same,Remained the same,Remain the same,Decreased,Will increase,Remained the same,Will increase,Decreased,Will decrease,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase
33,43,Jun-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Vejalpur ,5th Std-Below 10th Std,1 to 2,1,House wife,Worsened,Will improve,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Remained the same,Will increase,Improved,Remain the same,Increased,Will increase,Increased,Will increase
34,43,Jun-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Vejalpur ,5th Std-Below 10th Std,3 or 4,1,House wife,Improved,Will improve,Increased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
35,43,Jun-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Vejalpur ,5th Std-Below 10th Std,5 and more,2,House wife,Worsened,Will worsen,Increased,Will increase,Decreased,Will decrease,Decreased,Will decrease,Decreased,Will decrease,Improved,Remain the same,Increased,Will increase,Remained the same,Will increase
36,43,Jun-18,Ahmedabad,22-29 year,Female,Rs. 1 to less than 3 lakh,Dariyapur ,Below 5th Std,3 or 4,2,House wife,Improved,Will improve,Increased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
37,43,Jun-18,Ahmedabad,22-29 year,Female,Rs. 1 to less than 3 lakh,Ghatlodiya ,10th Std-Below 12th Std,3 or 4,1,House wife,Remained the same,Remain the same,Remained the same,Remain the same,Remained the same,Remain the same,Remained the same,Remain the same,Remained the same,Remain the same,Remained the same,Remain the same,Remained the same,Remain the same,,
38,43,Jun-18,Ahmedabad,22-29 year,Female,Rs. 1 to less than 3 lakh,Ghatlodiya ,5th Std-Below 10th Std,1 to 2,1,House wife,Remained the same,Remain the same,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase
39,43,Jun-18,Ahmedabad,22-29 year,Female,Rs. 1 to less than 3 lakh,Sabarmati ,Graduate,3 or 4,2,Unemployed,Improved,Will improve,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
40,43,Jun-18,Ahmedabad,22-29 year,Female,Rs. 1 to less than 3 lakh,Vejalpur ,5th Std-Below 10th Std,3 or 4,2,House wife,Improved,Will improve,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will decrease,Improved,Will improve,Increased,Will increase,Increased,Will increase
41,43,Jun-18,Ahmedabad,22-29 year,Female,Rs. 1 to less than 3 lakh,Vejalpur ,5th Std-Below 10th Std,5 and more,2,House wife,Improved,Will improve,Remained the same,Remain the same,Decreased,Will increase,Remained the same,Will increase,Decreased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
42,43,Jun-18,Ahmedabad,22-29 year,Female,Rs. 3 lakh to 5 lakh,Dariyapur ,Graduate,3 or 4,1,House wife,Improved,Will improve,Decreased,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will decrease,Increased,
43,43,Jun-18,Ahmedabad,22-29 year,Female,Rs. 3 lakh to 5 lakh,Nikol ,Graduate,5 and more,6,House wife,Worsened,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Improved,Will improve,Increased,Will increase,Increased,Will increase
44,43,Jun-18,Ahmedabad,22-29 year,Male,Rs. 1 lakh or less,Amaraiwadi ,12th Std,5 and more,2,Unemployed,Improved,Will improve,Increased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
45,43,Jun-18,Ahmedabad,22-29 year,Male,Rs. 1 lakh or less,Amaraiwadi ,5th Std-Below 10th Std,3 or 4,1,Daily worker,Improved,Will improve,Decreased,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
46,43,Jun-18,Ahmedabad,22-29 year,Male,Rs. 1 lakh or less,Amaraiwadi ,5th Std-Below 10th Std,3 or 4,1,Employed,Improved,Will improve,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
47,43,Jun-18,Ahmedabad,22-29 year,Male,Rs. 1 lakh or less,Asarwa ,Graduate,5 and more,1,Employed,Improved,Will improve,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
48,43,Jun-18,Ahmedabad,22-29 year,Male,Rs. 1 lakh or less,Bapunagar ,10th Std-Below 12th Std,3 or 4,2,Employed,Improved,Will improve,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
49,43,Jun-18,Ahmedabad,22-29 year,Male,Rs. 1 lakh or less,Bapunagar ,10th Std-Below 12th Std,3 or 4,2,Unemployed,Improved,Will improve,Increased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Remain the same,Increased,Will increase,Increased,Will increase
50,43,Jun-18,Ahmedabad,22-29 year,Male,Rs. 1 lakh or less,Ellisbridge ,5th Std-Below 10th Std,3 or 4,1,Daily worker,Improved,Will improve,Remained the same,Will increase,Remained the same,Remain the same,Increased,Remain the same,Remained the same,Will decrease,Worsened,Will improve,Increased,Will increase,Increased,Remain the same
51,43,Jun-18,Ahmedabad,22-29 year,Male,Rs. 1 lakh or less,Ellisbridge ,5th Std-Below 10th Std,5 and more,3,Daily worker,Remained the same,Remain the same,Decreased,Will increase,Remained the same,Remain the same,Increased,Will increase,Remained the same,Remain the same,Improved,Will improve,Increased,Will increase,Increased,Will increase
52,43,Jun-18,Ahmedabad,22-29 year,Male,Rs. 1 lakh or less,Ghatlodiya ,10th Std-Below 12th Std,3 or 4,1,Unemployed,Improved,Remain the same,Decreased,Will increase,Increased,Will increase,Increased,Will increase,Decreased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
53,43,Jun-18,Ahmedabad,22-29 year,Male,Rs. 1 lakh or less,Ghatlodiya ,12th Std,3 or 4,1,Employed,Improved,Will improve,Increased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
54,43,Jun-18,Ahmedabad,22-29 year,Male,Rs. 1 lakh or less,Ghatlodiya ,Post Graduate,3 or 4,1,Self Employed/ Business,Remained the same,Will improve,Remained the same,Remain the same,Remained the same,Remain the same,Remained the same,Remain the same,Remained the same,Remain the same,Remained the same,Will improve,Increased,Will increase,Increased,Will increase
55,43,Jun-18,Ahmedabad,22-29 year,Male,Rs. 1 lakh or less,Jamalpur -Khadia ,10th Std-Below 12th Std,5 and more,3,Unemployed,Improved,Will improve,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Will improve,Increased,Will increase,Remained the same,Will increase
56,43,Jun-18,Ahmedabad,22-29 year,Male,Rs. 1 lakh or less,Maninagar ,5th Std-Below 10th Std,3 or 4,2,Employed,Worsened,Will improve,Remained the same,Remain the same,Remained the same,Will increase,Remained the same,Remain the same,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
57,43,Jun-18,Ahmedabad,22-29 year,Male,Rs. 1 lakh or less,Naroda ,5th Std-Below 10th Std,5 and more,2,Daily worker,Improved,Will improve,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Improved,Will improve,Increased,Will decrease,Increased,
58,43,Jun-18,Ahmedabad,22-29 year,Male,Rs. 1 lakh or less,Naroda ,Post Graduate,3 or 4,1,Employed,Improved,Will improve,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Decreased,Will increase,Remained the same,Will improve,Increased,Will increase,Increased,Will increase
59,43,Jun-18,Ahmedabad,22-29 year,Male,Rs. 1 lakh or less,Nikol ,Graduate,5 and more,7,Unemployed,Improved,Will improve,Remained the same,Will increase,Increased,Will increase,Increased,Remain the same,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
60,43,Jun-18,Ahmedabad,22-29 year,Male,Rs. 1 lakh or less,Sabarmati ,10th Std-Below 12th Std,3 or 4,3,Employed,Improved,Will improve,Increased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
61,43,Jun-18,Ahmedabad,22-29 year,Male,Rs. 1 lakh or less,Sabarmati ,Graduate,3 or 4,2,Employed,Improved,Will improve,Remained the same,Will increase,Increased,Remain the same,Increased,Remain the same,Increased,Will increase,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase
62,43,Jun-18,Ahmedabad,22-29 year,Male,Rs. 1 lakh or less,Vatva ,10th Std-Below 12th Std,5 and more,2,Daily worker,Improved,Will improve,Remained the same,Will decrease,Increased,Will increase,Increased,Will decrease,Increased,Will increase,Improved,Will improve,Increased,Will decrease,Remained the same,
63,43,Jun-18,Ahmedabad,22-29 year,Male,Rs. 1 lakh or less,Vejalpur ,10th Std-Below 12th Std,5 and more,4,Unemployed,Improved,Will improve,Increased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will decrease,Improved,Will improve,Increased,Will increase,Increased,Will increase
64,43,Jun-18,Ahmedabad,22-29 year,Male,Rs. 1 lakh or less,Vejalpur ,5th Std-Below 10th Std,5 and more,2,Daily worker,Improved,Remain the same,Remained the same,Will decrease,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
65,43,Jun-18,Ahmedabad,22-29 year,Male,Rs. 1 lakh or less,Vejalpur ,Graduate,5 and more,3,Employed,Worsened,Will worsen,Decreased,Will decrease,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Will worsen,Increased,Will increase,Increased,Will increase
66,43,Jun-18,Ahmedabad,22-29 year,Male,Rs. 1 to less than 3 lakh,Amaraiwadi ,5th Std-Below 10th Std,5 and more,3,Employed,Worsened,Will worsen,Decreased,Remain the same,Increased,Will increase,Decreased,Will increase,Increased,Will increase,Improved,Remain the same,Increased,Will increase,Increased,Will increase
67,43,Jun-18,Ahmedabad,22-29 year,Male,Rs. 1 to less than 3 lakh,Amaraiwadi ,Graduate,5 and more,2,Daily worker,Worsened,Will worsen,Decreased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Will worsen,Increased,Will increase,Increased,Will increase
68,43,Jun-18,Ahmedabad,22-29 year,Male,Rs. 1 to less than 3 lakh,Asarwa ,Graduate,3 or 4,2,Employed,Improved,Will improve,Increased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Will improve,Increased,Will increase,Increased,Will increase
69,43,Jun-18,Ahmedabad,22-29 year,Male,Rs. 1 to less than 3 lakh,Ghatlodiya ,Graduate,5 and more,2,Employed,Worsened,Will improve,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Increased,Remain the same,Worsened,Will improve,Increased,Remain the same,Increased,
70,43,Jun-18,Ahmedabad,22-29 year,Male,Rs. 1 to less than 3 lakh,Jamalpur -Khadia ,Post Graduate,5 and more,2,Unemployed,Worsened,Will improve,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
71,43,Jun-18,Ahmedabad,22-29 year,Male,Rs. 1 to less than 3 lakh,Jamalpur -Khadia ,Post Graduate,5 and more,3,Self Employed/ Business,Worsened,Remain the same,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Will decrease,Remained the same,Will improve,Increased,Will increase,Increased,Will increase
72,43,Jun-18,Ahmedabad,22-29 year,Male,Rs. 1 to less than 3 lakh,Maninagar ,10th Std-Below 12th Std,5 and more,2,Employed,Remained the same,Will improve,Increased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
73,43,Jun-18,Ahmedabad,22-29 year,Male,Rs. 1 to less than 3 lakh,Sabarmati ,Post Graduate,5 and more,1,Unemployed,Improved,Will improve,Decreased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will decrease,Decreased,
74,43,Jun-18,Ahmedabad,22-29 year,Male,Rs. 1 to less than 3 lakh,Vatva ,10th Std-Below 12th Std,1 to 2,1,Employed,Improved,Will improve,Increased,Will increase,Increased,Will increase,Remained the same,Will increase,Increased,Will increase,Improved,Will improve,Decreased,Remain the same,,
75,43,Jun-18,Ahmedabad,22-29 year,Male,Rs. 1 to less than 3 lakh,Vatva ,10th Std-Below 12th Std,5 and more,3,Self Employed/ Business,Improved,Will improve,Increased,Will increase,Decreased,Remain the same,Decreased,Will decrease,Decreased,Remain the same,Improved,Will improve,Increased,Will decrease,Increased,
76,43,Jun-18,Ahmedabad,22-29 year,Male,Rs. 3 lakh to 5 lakh,Ghatlodiya ,Post Graduate,1 to 2,1,Employed,Improved,Will improve,Increased,Will increase,Remained the same,Remain the same,Remained the same,Remain the same,Remained the same,Remain the same,Improved,Will improve,Increased,Will increase,Increased,Remain the same
77,43,Jun-18,Ahmedabad,22-29 year,Male,Rs. 3 lakh to 5 lakh,Ghatlodiya ,Post Graduate,3 or 4,2,Employed,Improved,Will improve,Increased,Will increase,Remained the same,Will increase,Increased,Will increase,Remained the same,Will increase,Improved,Will improve,Remained the same,Remain the same,,
78,43,Jun-18,Ahmedabad,22-29 year,Male,Rs. 3 lakh to 5 lakh,Jamalpur -Khadia ,Post Graduate,5 and more,2,Self Employed/ Business,Improved,Will improve,Increased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Remain the same,Remained the same,Will improve,Increased,Will increase,Increased,Will increase
79,43,Jun-18,Ahmedabad,22-29 year,Male,Rs. 3 lakh to 5 lakh,Naranpura ,Graduate,3 or 4,2,Employed,Improved,Will improve,Increased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
80,43,Jun-18,Ahmedabad,22-29 year,Male,Rs. 3 lakh to 5 lakh,Thakakarbapa nagar ,Post Graduate,3 or 4,1,Unemployed,Remained the same,Will improve,Increased,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase
81,43,Jun-18,Ahmedabad,22-29 year,Male,Rs. 3 lakh to 5 lakh,Vatva ,10th Std-Below 12th Std,3 or 4,1,Daily worker,Worsened,Will improve,Increased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Remained the same,Remain the same
82,43,Jun-18,Ahmedabad,22-29 year,Male,Rs. 3 lakh to 5 lakh,Vejalpur ,Graduate,3 or 4,2,Self Employed/ Business,Improved,Will improve,Increased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Remained the same,Will decrease,,
83,43,Jun-18,Ahmedabad,30-39 year,Female,Rs. 1 lakh or less,Amaraiwadi ,10th Std-Below 12th Std,3 or 4,1,House wife,Improved,Will improve,Increased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
84,43,Jun-18,Ahmedabad,30-39 year,Female,Rs. 1 lakh or less,Amaraiwadi ,12th Std,3 or 4,1,House wife,Remained the same,Remain the same,Remained the same,Remain the same,Increased,Will increase,Remained the same,Will increase,Increased,Will increase,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase
85,43,Jun-18,Ahmedabad,30-39 year,Female,Rs. 1 lakh or less,Amaraiwadi ,5th Std-Below 10th Std,3 or 4,1,House wife,Improved,Will improve,Increased,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
86,43,Jun-18,Ahmedabad,30-39 year,Female,Rs. 1 lakh or less,Amaraiwadi ,5th Std-Below 10th Std,5 and more,1,House wife,Improved,Will improve,Remained the same,Will increase,Remained the same,Remain the same,Increased,Will increase,Decreased,Remain the same,Improved,Will improve,Increased,Will increase,Increased,Will increase
87,43,Jun-18,Ahmedabad,30-39 year,Female,Rs. 1 lakh or less,Amaraiwadi ,Below 5th Std,5 and more,2,House wife,Worsened,Will improve,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Remain the same,Increased,Remain the same,Increased,
88,43,Jun-18,Ahmedabad,30-39 year,Female,Rs. 1 lakh or less,Asarwa ,10th Std-Below 12th Std,5 and more,2,House wife,Improved,Will improve,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
89,43,Jun-18,Ahmedabad,30-39 year,Female,Rs. 1 lakh or less,Asarwa ,Graduate,3 or 4,1,House wife,Improved,Will improve,Remained the same,Will increase,Remained the same,Will increase,Increased,Will increase,Remained the same,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
