Serial No.,Round No.,Period,City,Age,Gender,Annual Income,Assembly Constituency Name,Educational Qualification,No. of Family Members,No. of Earning members in the family,Occupation of Respondent,Perception on General Economic condition - compared to one year ago,Outlook on General Economic condition - one year ahead,Perception on Household income - compared to one year ago,Outlook on Household income - one year ahead,Perception on Household spending - compared to one year ago,Outlook on Household spending - one year ahead,Perception on essential spending - compared to one year ago,Outlook on essential spending - one year ahead,Perception on non-essential spending - compared to one year ago,Outlook on non-essential spending - one year ahead,Perception on Employment scenario - compared to one year ago,Outlook on Employment scenario - one year ahead,Perception on General prices - compared to one year ago,Outlook on General prices - one year ahead,Perception on Inflation - compared to one year ago,Outlook on Inflation - one year ahead
11,44,Sep-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Bapunagar,10th Std-Below 12th Std,5 and more,2,Self Employed/ Business,Worsened,Will improve,Decreased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Remain the same,Remained the same,Will improve,Increased,Will increase,Increased,Will increase
12,44,Sep-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Bapunagar,5th Std-Below 10th Std,3 or 4,1,House wife,Improved,Will improve,Increased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
13,44,Sep-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Bapunagar,5th Std-Below 10th Std,5 and more,3,Daily worker,Improved,Will improve,Increased,Will increase,Remained the same,Will increase,Remained the same,Will increase,Remained the same,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
14,44,Sep-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Bapunagar,Graduate,5 and more,1,Unemployed,Remained the same,Remain the same,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Remain the same,Remained the same,Will improve,Increased,Will increase,Increased,Will increase
15,44,Sep-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Dariyapur,Post Graduate,5 and more,1,House wife,Improved,Will improve,Remained the same,Will increase,Remained the same,Remain the same,Remained the same,Remain the same,Remained the same,Remain the same,Improved,Will improve,Remained the same,Will decrease,,
16,44,Sep-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Ellisbridge,5th Std-Below 10th Std,5 and more,2,Daily worker,Remained the same,Will improve,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
17,44,Sep-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Ghatlodiya,12th Std,5 and more,2,House wife,Worsened,Remain the same,Increased,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
18,44,Sep-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Ghatlodiya,Graduate,5 and more,2,Unemployed,Worsened,Remain the same,Decreased,Will increase,Decreased,Will increase,Decreased,Will increase,Decreased,Will increase,Remained the same,Remain the same,Increased,Remain the same,Increased,
19,44,Sep-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Jamalpur-Khadia,Graduate,5 and more,1,Unemployed,Improved,Will improve,Remained the same,Will increase,Remained the same,Will increase,Increased,Will increase,Remained the same,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
20,44,Sep-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Jamalpur-Khadia,Graduate,5 and more,2,House wife,Worsened,Remain the same,Decreased,Remain the same,Remained the same,Will increase,Increased,Will increase,Remained the same,Remain the same,Worsened,Will improve,Increased,Will increase,Increased,Will decrease
21,44,Sep-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Maninagar,10th Std-Below 12th Std,3 or 4,1,House wife,Remained the same,Will improve,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
22,44,Sep-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Maninagar,5th Std-Below 10th Std,5 and more,3,House wife,Worsened,Will improve,Remained the same,Will decrease,Increased,Will increase,Decreased,Will increase,Increased,Will increase,Worsened,Remain the same,Increased,Remain the same,Decreased,
23,44,Sep-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Naranpura,Graduate,3 or 4,2,Employed,Improved,Will improve,Remained the same,Will increase,Remained the same,Will increase,Increased,Will increase,Decreased,Will increase,Improved,Remain the same,Increased,Will increase,Increased,Will increase
24,44,Sep-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Naranpura,Graduate,5 and more,2,Unemployed,Improved,Will improve,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Remain the same
25,44,Sep-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Naroda,10th Std-Below 12th Std,5 and more,3,House wife,Remained the same,Will improve,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
26,44,Sep-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Naroda,5th Std-Below 10th Std,5 and more,1,House wife,Remained the same,Will improve,Decreased,Will increase,Remained the same,Will increase,Increased,Will increase,Remained the same,Will increase,Remained the same,Will improve,Increased,Will increase,Decreased,Will increase
27,44,Sep-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Nikol,12th Std,5 and more,2,House wife,Improved,Will improve,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Remain the same,Improved,Will improve,Increased,Will increase,Increased,Will increase
28,44,Sep-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Nikol,5th Std-Below 10th Std,3 or 4,1,Employed,Improved,Will worsen,Increased,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Will increase,Improved,Will worsen,Increased,Will increase,Increased,Will increase
29,44,Sep-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Nikol,5th Std-Below 10th Std,5 and more,1,House wife,Improved,Will improve,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
30,44,Sep-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Nikol,5th Std-Below 10th Std,5 and more,6,Employed,Improved,Will improve,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Will improve,Increased,Will increase,Increased,Will increase
31,44,Sep-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Sabarmati,Graduate,3 or 4,1,Unemployed,Worsened,Will improve,Remained the same,Remain the same,Increased,Remain the same,Increased,Will increase,Increased,Remain the same,Improved,Will improve,Increased,Remain the same,Increased,
32,44,Sep-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Thakakarbapa nagar,10th Std-Below 12th Std,5 and more,2,House wife,Improved,Will improve,Remained the same,Remain the same,Increased,Will increase,Increased,Remain the same,Remained the same,Will increase,Improved,Will improve,Increased,Remain the same,Increased,
33,44,Sep-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Thakakarbapa nagar,12th Std,5 and more,3,House wife,Improved,Will improve,Decreased,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Improved,Will improve,Increased,Will increase,Increased,Will increase
34,44,Sep-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Vatva,10th Std-Below 12th Std,5 and more,2,House wife,Improved,Will improve,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Improved,Will improve,Increased,Will increase,Increased,Will increase
35,44,Sep-18,Ahmedabad,22-29 year,Female,Rs. 1 lakh or less,Vatva,12th Std,3 or 4,1,House wife,Worsened,Will improve,Increased,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
36,44,Sep-18,Ahmedabad,22-29 year,Female,Rs. 1 to less than 3 lakh,Asarwa,Graduate,5 and more,1,House wife,Improved,Will improve,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Improved,Remain the same,Increased,Remain the same,Increased,
37,44,Sep-18,Ahmedabad,22-29 year,Female,Rs. 1 to less than 3 lakh,Danilimda,5th Std-Below 10th Std,3 or 4,2,Employed,Worsened,Will improve,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
38,44,Sep-18,Ahmedabad,22-29 year,Female,Rs. 1 to less than 3 lakh,Danilimda,5th Std-Below 10th Std,5 and more,2,House wife,Improved,Will improve,Remained the same,Will increase,Remained the same,Remain the same,Remained the same,Remain the same,Remained the same,Remain the same,Improved,Will improve,Remained the same,Will increase,,Will increase
39,44,Sep-18,Ahmedabad,22-29 year,Female,Rs. 1 to less than 3 lakh,Dariyapur,Graduate,3 or 4,2,Unemployed,Improved,Will improve,Remained the same,Remain the same,Remained the same,Remain the same,Increased,Remain the same,Remained the same,Will decrease,Worsened,Will improve,Increased,Will increase,Increased,Will increase
40,44,Sep-18,Ahmedabad,22-29 year,Female,Rs. 1 to less than 3 lakh,Ellisbridge,12th Std,5 and more,1,House wife,Worsened,Remain the same,Decreased,Remain the same,Increased,Remain the same,Increased,Remain the same,Decreased,Will decrease,Remained the same,Will improve,Increased,Will increase,Increased,Will increase
41,44,Sep-18,Ahmedabad,22-29 year,Female,Rs. 1 to less than 3 lakh,Ellisbridge,Post Graduate,5 and more,1,Employed,Improved,Will improve,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Remained the same,Will improve,Increased,Will increase,Increased,Will increase
42,44,Sep-18,Ahmedabad,22-29 year,Female,Rs. 1 to less than 3 lakh,Ghatlodiya,12th Std,5 and more,1,House wife,Worsened,Will worsen,Remained the same,Remain the same,Increased,Remain the same,Increased,Will increase,Remained the same,Remain the same,Worsened,Will worsen,Increased,Will increase,Increased,Will increase
43,44,Sep-18,Ahmedabad,22-29 year,Female,Rs. 1 to less than 3 lakh,Nikol,Graduate,3 or 4,2,House wife,Remained the same,Will improve,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase
44,44,Sep-18,Ahmedabad,22-29 year,Female,Rs. 1 to less than 3 lakh,Thakakarbapa nagar,12th Std,5 and more,2,House wife,Improved,Will improve,Decreased,Will increase,Remained the same,Will increase,Remained the same,Will increase,Remained the same,Will increase,Improved,Remain the same,Increased,Will increase,Increased,Will increase
45,44,Sep-18,Ahmedabad,22-29 year,Female,Rs. 1 to less than 3 lakh,Vatva,Post Graduate,5 and more,2,House wife,Improved,Will improve,Increased,Remain the same,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Worsened,Will worsen,Increased,Will increase,Increased,Will increase
46,44,Sep-18,Ahmedabad,22-29 year,Female,Rs. 1 to less than 3 lakh,Vejalpur,5th Std-Below 10th Std,3 or 4,1,House wife,Improved,Will improve,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Will improve,Decreased,Will increase,,Will increase
47,44,Sep-18,Ahmedabad,22-29 year,Female,Rs. 3 lakh to 5 lakh,Ellisbridge,Post Graduate,3 or 4,3,Employed,Worsened,Remain the same,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Increased,Remain the same,Increased,
48,44,Sep-18,Ahmedabad,22-29 year,Male,Rs. 1 lakh or less,Amaraiwadi,10th Std-Below 12th Std,5 and more,2,Employed,Improved,Will improve,Remained the same,Will increase,Remained the same,Will increase,Increased,Will increase,Remained the same,Remain the same,Improved,Will improve,Increased,Will increase,Increased,Will increase
49,44,Sep-18,Ahmedabad,22-29 year,Male,Rs. 1 lakh or less,Amaraiwadi,5th Std-Below 10th Std,3 or 4,1,Employed,Remained the same,Will improve,Remained the same,Will increase,Remained the same,Will increase,Remained the same,Will increase,Remained the same,Will decrease,Remained the same,Will improve,Increased,Will increase,Increased,Will increase
50,44,Sep-18,Ahmedabad,22-29 year,Male,Rs. 1 lakh or less,Amaraiwadi,Graduate,1 to 2,1,Unemployed,Remained the same,Will improve,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will decrease,Worsened,Will worsen,Increased,Will increase,Increased,Will increase
51,44,Sep-18,Ahmedabad,22-29 year,Male,Rs. 1 lakh or less,Amaraiwadi,Graduate,3 or 4,1,Unemployed,Improved,Will improve,Decreased,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Improved,Will improve,Increased,Will increase,Remained the same,Will increase
52,44,Sep-18,Ahmedabad,22-29 year,Male,Rs. 1 lakh or less,Amaraiwadi,Graduate,5 and more,1,Employed,Worsened,Will improve,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Decreased,Remain the same,Improved,Will improve,Increased,Will increase,Increased,Will increase
53,44,Sep-18,Ahmedabad,22-29 year,Male,Rs. 1 lakh or less,Asarwa,Graduate,5 and more,1,Unemployed,Remained the same,Will improve,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Decreased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
54,44,Sep-18,Ahmedabad,22-29 year,Male,Rs. 1 lakh or less,Bapunagar,5th Std-Below 10th Std,3 or 4,1,Employed,Worsened,Will improve,Decreased,Will increase,Increased,Remain the same,Increased,Will increase,Increased,Will decrease,Worsened,Will improve,Increased,Will decrease,Increased,
55,44,Sep-18,Ahmedabad,22-29 year,Male,Rs. 1 lakh or less,Bapunagar,Post Graduate,5 and more,1,Employed,Worsened,Will worsen,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Will worsen,Increased,Will increase,Increased,Will increase
56,44,Sep-18,Ahmedabad,22-29 year,Male,Rs. 1 lakh or less,Danilimda,10th Std-Below 12th Std,3 or 4,1,Employed,Remained the same,Will worsen,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Will worsen,Increased,Will increase,Increased,Will increase
57,44,Sep-18,Ahmedabad,22-29 year,Male,Rs. 1 lakh or less,Danilimda,12th Std,3 or 4,1,Employed,Improved,Will improve,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will worsen,Increased,Will increase,Increased,Will increase
58,44,Sep-18,Ahmedabad,22-29 year,Male,Rs. 1 lakh or less,Danilimda,12th Std,3 or 4,2,Employed,Improved,Will improve,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase
59,44,Sep-18,Ahmedabad,22-29 year,Male,Rs. 1 lakh or less,Danilimda,12th Std,3 or 4,2,Employed,Worsened,Will worsen,Decreased,Will decrease,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Will worsen,Increased,Will increase,Increased,Will increase
60,44,Sep-18,Ahmedabad,22-29 year,Male,Rs. 1 lakh or less,Danilimda,12th Std,5 and more,2,Employed,Improved,Will improve,Decreased,Remain the same,Increased,Will increase,Increased,Remain the same,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
61,44,Sep-18,Ahmedabad,22-29 year,Male,Rs. 1 lakh or less,Danilimda,12th Std,5 and more,3,Employed,Worsened,Will improve,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Will decrease,Improved,Will improve,Increased,Will increase,Increased,Will increase
62,44,Sep-18,Ahmedabad,22-29 year,Male,Rs. 1 lakh or less,Danilimda,5th Std-Below 10th Std,1 to 2,1,Self Employed/ Business,Worsened,Will worsen,Decreased,Will decrease,Increased,Will increase,Increased,Will decrease,Increased,Will increase,Worsened,Remain the same,Increased,Will increase,Increased,Will increase
63,44,Sep-18,Ahmedabad,22-29 year,Male,Rs. 1 lakh or less,Danilimda,5th Std-Below 10th Std,3 or 4,1,Employed,Worsened,Will worsen,Increased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Will worsen,Increased,Will decrease,Increased,
64,44,Sep-18,Ahmedabad,22-29 year,Male,Rs. 1 lakh or less,Danilimda,5th Std-Below 10th Std,5 and more,1,Unemployed,Improved,Will improve,Decreased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
65,44,Sep-18,Ahmedabad,22-29 year,Male,Rs. 1 lakh or less,Danilimda,Graduate,3 or 4,1,Self Employed/ Business,Remained the same,Remain the same,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase
66,44,Sep-18,Ahmedabad,22-29 year,Male,Rs. 1 lakh or less,Danilimda,Illiterate,1 to 2,1,Employed,Improved,Will worsen,Remained the same,Remain the same,Increased,Will increase,Remained the same,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
67,44,Sep-18,Ahmedabad,22-29 year,Male,Rs. 1 lakh or less,Danilimda,Post Graduate,5 and more,1,Unemployed,Worsened,Will worsen,Increased,Will decrease,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Will worsen,Increased,Will increase,Increased,Will increase
68,44,Sep-18,Ahmedabad,22-29 year,Male,Rs. 1 lakh or less,Dariyapur,Graduate,3 or 4,1,Employed,Worsened,Will improve,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
69,44,Sep-18,Ahmedabad,22-29 year,Male,Rs. 1 lakh or less,Jamalpur-Khadia,12th Std,3 or 4,2,Employed,Worsened,Will worsen,Decreased,Will decrease,Increased,Remain the same,Increased,Remain the same,Increased,Will decrease,Worsened,Will worsen,Increased,Will increase,Increased,Remain the same
70,44,Sep-18,Ahmedabad,22-29 year,Male,Rs. 1 lakh or less,Jamalpur-Khadia,Below 5th Std,5 and more,3,Employed,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Will improve,Increased,Will increase,Increased,Will increase
71,44,Sep-18,Ahmedabad,22-29 year,Male,Rs. 1 lakh or less,Maninagar,10th Std-Below 12th Std,3 or 4,1,Daily worker,Improved,Will improve,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
72,44,Sep-18,Ahmedabad,22-29 year,Male,Rs. 1 lakh or less,Maninagar,10th Std-Below 12th Std,3 or 4,1,Employed,Improved,Will improve,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Will improve,Increased,Will increase,Increased,Will increase
73,44,Sep-18,Ahmedabad,22-29 year,Male,Rs. 1 lakh or less,Maninagar,12th Std,3 or 4,1,Employed,Remained the same,Will improve,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Will improve,Increased,Will increase,Increased,Will increase
74,44,Sep-18,Ahmedabad,22-29 year,Male,Rs. 1 lakh or less,Maninagar,12th Std,5 and more,2,Unemployed,Improved,Will improve,Decreased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
75,44,Sep-18,Ahmedabad,22-29 year,Male,Rs. 1 lakh or less,Maninagar,5th Std-Below 10th Std,3 or 4,1,Employed,Improved,Will improve,Increased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
76,44,Sep-18,Ahmedabad,22-29 year,Male,Rs. 1 lakh or less,Maninagar,5th Std-Below 10th Std,5 and more,1,Self Employed/ Business,Improved,Remain the same,Decreased,Will increase,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Remained the same,Will decrease,,
77,44,Sep-18,Ahmedabad,22-29 year,Male,Rs. 1 lakh or less,Naranpura,10th Std-Below 12th Std,3 or 4,2,Daily worker,Worsened,Remain the same,Decreased,Will increase,Increased,Will increase,Increased,Will increase,Decreased,Will increase,Remained the same,Will improve,Increased,Will increase,Increased,Will increase
78,44,Sep-18,Ahmedabad,22-29 year,Male,Rs. 1 lakh or less,Naroda,5th Std-Below 10th Std,3 or 4,2,Employed,Worsened,Will worsen,Decreased,Will increase,Increased,Will increase,Increased,Will increase,Decreased,Will increase,Worsened,Will worsen,Increased,Will increase,Increased,Will increase
79,44,Sep-18,Ahmedabad,22-29 year,Male,Rs. 1 lakh or less,Naroda,Graduate,3 or 4,2,Unemployed,Improved,Will improve,Increased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Remain the same,Improved,Will improve,Increased,Will decrease,Increased,
80,44,Sep-18,Ahmedabad,22-29 year,Male,Rs. 1 lakh or less,Nikol,12th Std,5 and more,1,Unemployed,Remained the same,Will improve,Increased,Will increase,Increased,Will increase,Decreased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
81,44,Sep-18,Ahmedabad,22-29 year,Male,Rs. 1 lakh or less,Sabarmati,Graduate,5 and more,2,Employed,Improved,Will improve,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
82,44,Sep-18,Ahmedabad,22-29 year,Male,Rs. 1 lakh or less,Vejalpur,10th Std-Below 12th Std,3 or 4,1,Unemployed,Worsened,Will worsen,Decreased,Will increase,Remained the same,Will decrease,Remained the same,Will increase,Remained the same,Will decrease,Worsened,Will worsen,Increased,Will increase,Increased,Will increase
83,44,Sep-18,Ahmedabad,22-29 year,Male,Rs. 1 lakh or less,Vejalpur,12th Std,3 or 4,2,Unemployed,Improved,Will improve,Increased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
84,44,Sep-18,Ahmedabad,22-29 year,Male,Rs. 1 lakh or less,Vejalpur,5th Std-Below 10th Std,5 and more,4,Employed,Worsened,Will improve,Decreased,Remain the same,Decreased,Will decrease,Decreased,Will decrease,Decreased,Will decrease,Worsened,Will improve,Increased,Will increase,Increased,Will increase
85,44,Sep-18,Ahmedabad,22-29 year,Male,Rs. 1 lakh or less,Vejalpur,Illiterate,5 and more,1,Employed,Worsened,Will improve,Remained the same,Remain the same,Remained the same,Will decrease,Remained the same,Will decrease,Remained the same,Will decrease,Improved,Will improve,Remained the same,Will decrease,,
86,44,Sep-18,Ahmedabad,22-29 year,Male,Rs. 1 to less than 3 lakh,Amaraiwadi,10th Std-Below 12th Std,5 and more,2,Employed,Improved,Will improve,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Will improve,Increased,Remain the same,Increased,
87,44,Sep-18,Ahmedabad,22-29 year,Male,Rs. 1 to less than 3 lakh,Asarwa,Graduate,5 and more,1,Employed,Improved,Will improve,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
88,44,Sep-18,Ahmedabad,22-29 year,Male,Rs. 1 to less than 3 lakh,Bapunagar,10th Std-Below 12th Std,1 to 2,2,Employed,Worsened,Will worsen,Remained the same,Remain the same,Increased,Will increase,Remained the same,Will increase,Increased,Will increase,Worsened,Will worsen,Increased,Will increase,Increased,Will increase
89,44,Sep-18,Ahmedabad,22-29 year,Male,Rs. 1 to less than 3 lakh,Danilimda,12th Std,3 or 4,2,Employed,Improved,Will improve,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Will increase,Remained the same,Will improve,Increased,Will increase,Increased,Will increase
90,44,Sep-18,Ahmedabad,22-29 year,Male,Rs. 1 to less than 3 lakh,Dariyapur,12th Std,3 or 4,2,Employed,Worsened,Will worsen,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Will improve,Increased,Will increase,Increased,Will increase
